Multiplier type,Variable,Industry,UOM,VALUE
Direct multiplier,Gross domestic product (GDP) at market prices,Diamond mining [BS212392],Per dollar of output,0.528
Direct multiplier,Gross domestic product (GDP) at market prices,Other non-metallic mineral mining and quarrying (except diamond and potash) [BS21239A],Per dollar of output,0.657
Direct multiplier,Gross domestic product (GDP) at market prices,Potash mining [BS212396],Per dollar of output,0.878
Direct multiplier,Gross domestic product (GDP) at market prices,Support activities for oil and gas extraction [BS21311A],Per dollar of output,0.706
Direct multiplier,Gross domestic product (GDP) at market prices,Support activities for mining [BS21311B],Per dollar of output,0.575
Direct multiplier,Gross domestic product (GDP) at market prices,"Electric power generation, transmission and distribution [BS221100]",Per dollar of output,0.717
Direct multiplier,Gross domestic product (GDP) at market prices,Natural gas distribution [BS221200],Per dollar of output,0.809
Direct multiplier,Gross domestic product (GDP) at market prices,"Water, sewage and other systems [BS221300]",Per dollar of output,0.533
Direct multiplier,Gross domestic product (GDP) at market prices,Residential building construction [BS23A000],Per dollar of output,0.428
Direct multiplier,Gross domestic product (GDP) at market prices,Non-residential building construction [BS23B000],Per dollar of output,0.438
Direct multiplier,Gross domestic product (GDP) at market prices,Transportation engineering construction [BS23C100],Per dollar of output,0.393
Direct multiplier,Gross domestic product (GDP) at market prices,Oil and gas engineering construction [BS23C200],Per dollar of output,0.407
Direct multiplier,Gross domestic product (GDP) at market prices,Electric power engineering construction [BS23C300],Per dollar of output,0.533
Direct multiplier,Gross domestic product (GDP) at market prices,Communication engineering construction [BS23C400],Per dollar of output,0.254
Direct multiplier,Gross domestic product (GDP) at market prices,Other engineering construction [BS23C500],Per dollar of output,0.421
Direct multiplier,Gross domestic product (GDP) at market prices,Repair construction [BS23D000],Per dollar of output,0.575
Direct multiplier,Gross domestic product (GDP) at market prices,Other activities of the construction industry [BS23E000],Per dollar of output,0.665
Direct multiplier,Gross domestic product (GDP) at market prices,Animal food manufacturing [BS311100],Per dollar of output,0.145
Direct multiplier,Gross domestic product (GDP) at market prices,Grain and oilseed milling [BS311200],Per dollar of output,0.117
Direct multiplier,Gross domestic product (GDP) at market prices,Sugar and confectionery product manufacturing [BS311300],Per dollar of output,0.342
Direct multiplier,Gross domestic product (GDP) at market prices,Fruit and vegetable preserving and specialty food manufacturing [BS311400],Per dollar of output,0.272
Direct multiplier,Gross domestic product (GDP) at market prices,Dairy product manufacturing [BS311500],Per dollar of output,0.255
Direct multiplier,Gross domestic product (GDP) at market prices,Meat product manufacturing [BS311600],Per dollar of output,0.252
Direct multiplier,Gross domestic product (GDP) at market prices,Seafood product preparation and packaging [BS311700],Per dollar of output,0.228
Direct multiplier,Gross domestic product (GDP) at market prices,Bakeries and tortilla manufacturing [BS311800],Per dollar of output,0.346
Direct multiplier,Gross domestic product (GDP) at market prices,Other food manufacturing [BS311900],Per dollar of output,0.289
Direct multiplier,Gross domestic product (GDP) at market prices,Soft drink and ice manufacturing [BS312110],Per dollar of output,0.269
Direct multiplier,Gross domestic product (GDP) at market prices,Breweries [BS312120],Per dollar of output,0.448
Direct multiplier,Gross domestic product (GDP) at market prices,Wineries and distilleries [BS3121A0],Per dollar of output,0.394
Direct multiplier,Gross domestic product (GDP) at market prices,Tobacco and cannabis product manufacturing [BS312A00],Per dollar of output,0.482
Direct multiplier,Gross domestic product (GDP) at market prices,Textile and textile product mills [BS31A000],Per dollar of output,0.372
Direct multiplier,Gross domestic product (GDP) at market prices,Clothing and leather and allied product manufacturing [BS31B000],Per dollar of output,0.423
Direct multiplier,Gross domestic product (GDP) at market prices,Sawmills and wood preservation [BS321100],Per dollar of output,0.373
Direct multiplier,Gross domestic product (GDP) at market prices,"Veneer, plywood and engineered wood product manufacturing [BS321200]",Per dollar of output,0.416
Direct multiplier,Gross domestic product (GDP) at market prices,Other wood product manufacturing [BS321900],Per dollar of output,0.331
Direct multiplier,Gross domestic product (GDP) at market prices,"Pulp, paper and paperboard mills [BS322100]",Per dollar of output,0.276
Direct multiplier,Gross domestic product (GDP) at market prices,Converted paper product manufacturing [BS322200],Per dollar of output,0.324
Direct multiplier,Gross domestic product (GDP) at market prices,Printing and related support activities [BS323000],Per dollar of output,0.422
Direct multiplier,Gross domestic product (GDP) at market prices,Petroleum refineries [BS324110],Per dollar of output,0.19
Direct multiplier,Gross domestic product (GDP) at market prices,Petroleum and coal product manufacturing (except petroleum refineries) [BS3241A0],Per dollar of output,0.253
Direct multiplier,Gross domestic product (GDP) at market prices,Basic chemical manufacturing [BS325100],Per dollar of output,0.246
Direct multiplier,Gross domestic product (GDP) at market prices,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS325200]",Per dollar of output,0.318
Direct multiplier,Gross domestic product (GDP) at market prices,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS325300]",Per dollar of output,0.376
Direct multiplier,Gross domestic product (GDP) at market prices,Pharmaceutical and medicine manufacturing [BS325400],Per dollar of output,0.378
Direct multiplier,Gross domestic product (GDP) at market prices,"Paint, coating and adhesive manufacturing [BS325500]",Per dollar of output,0.282
Direct multiplier,Gross domestic product (GDP) at market prices,"Soap, cleaning compound and toilet preparation manufacturing [BS325600]",Per dollar of output,0.348
Direct multiplier,Gross domestic product (GDP) at market prices,Other chemical product manufacturing [BS325900],Per dollar of output,0.296
Direct multiplier,Gross domestic product (GDP) at market prices,Plastic product manufacturing [BS326100],Per dollar of output,0.304
Direct multiplier,Gross domestic product (GDP) at market prices,Rubber product manufacturing [BS326200],Per dollar of output,0.321
Direct multiplier,Gross domestic product (GDP) at market prices,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A00],Per dollar of output,0.387
Direct multiplier,Gross domestic product (GDP) at market prices,Cement and concrete product manufacturing [BS327300],Per dollar of output,0.378
Direct multiplier,Gross domestic product (GDP) at market prices,Iron and steel mills and ferro-alloy manufacturing [BS331100],Per dollar of output,0.279
Direct multiplier,Gross domestic product (GDP) at market prices,Steel product manufacturing from purchased steel [BS331200],Per dollar of output,0.223
Direct multiplier,Gross domestic product (GDP) at market prices,Alumina and aluminum production and processing [BS331300],Per dollar of output,0.387
Direct multiplier,Gross domestic product (GDP) at market prices,Non-ferrous metal (except aluminum) production and processing [BS331400],Per dollar of output,0.082
Direct multiplier,Gross domestic product (GDP) at market prices,Foundries [BS331500],Per dollar of output,0.377
Direct multiplier,Gross domestic product (GDP) at market prices,"Forging, stamping and other fabricated metal product manufacturing [BS332B00]",Per dollar of output,0.369
Direct multiplier,Gross domestic product (GDP) at market prices,Architectural and structural metals manufacturing [BS332300],Per dollar of output,0.333
Direct multiplier,Gross domestic product (GDP) at market prices,"Boiler, tank and shipping container manufacturing [BS332400]",Per dollar of output,0.373
Direct multiplier,Gross domestic product (GDP) at market prices,"Machine shops, turned product, and screw, nut and bolt manufacturing [BS332700]",Per dollar of output,0.46
Direct multiplier,Gross domestic product (GDP) at market prices,"Coating, engraving, cold and heat treating and allied activities [BS332800]",Per dollar of output,0.482
