Multiplier type,Variable,Industry,UOM,VALUE
Indirect multiplier,International imports,Nursing and residential care facilities [GS623000],Per dollar of output,0.022
Indirect multiplier,International imports,Defence services [GS911100],Per dollar of output,0.046
Indirect multiplier,International imports,Other federal government services (except defence) [GS911A00],Per dollar of output,0.039
Indirect multiplier,International imports,Other provincial and territorial government services [GS912000],Per dollar of output,0.057
Indirect multiplier,International imports,Other municipal government services [GS913000],Per dollar of output,0.038
Indirect multiplier,International imports,Other Indigenous government services [GS914000],Per dollar of output,0.073
Indirect multiplier,Jobs,Total industries,Per million dollars of output,2.167
Indirect multiplier,Jobs,"Crop production (except cannabis, greenhouse, nursery and floriculture production) [BS111A00]",Per million dollars of output,1.818
Indirect multiplier,Jobs,"Greenhouse, nursery and floriculture production (except cannabis) [BS1114A0]",Per million dollars of output,2.194
Indirect multiplier,Jobs,Cannabis production (licensed) [BS111CL0],Per million dollars of output,1.934
Indirect multiplier,Jobs,Cannabis production (unlicensed) [BS111CU0],Per million dollars of output,1.15
Indirect multiplier,Jobs,Animal production (except aquaculture) [BS112A00],Per million dollars of output,3.932
Indirect multiplier,Jobs,Aquaculture [BS112500],Per million dollars of output,2.809
Indirect multiplier,Jobs,Forestry and logging [BS113000],Per million dollars of output,2.657
Indirect multiplier,Jobs,"Fishing, hunting and trapping [BS114000]",Per million dollars of output,1.419
Indirect multiplier,Jobs,Support activities for crop and animal production [BS115A00],Per million dollars of output,1.003
Indirect multiplier,Jobs,Support activities for forestry [BS115300],Per million dollars of output,1.825
Indirect multiplier,Jobs,Oil and gas extraction (except oil sands) [BS211110],Per million dollars of output,1.088
Indirect multiplier,Jobs,Oil sands extraction [BS211140],Per million dollars of output,1.303
Indirect multiplier,Jobs,Coal mining [BS212100],Per million dollars of output,1.157
Indirect multiplier,Jobs,Iron ore mining [BS212210],Per million dollars of output,1.394
Indirect multiplier,Jobs,Gold and silver ore mining [BS212220],Per million dollars of output,1.902
Indirect multiplier,Jobs,"Copper, nickel, lead and zinc ore mining [BS212230]",Per million dollars of output,1.428
Indirect multiplier,Jobs,Other metal ore mining [BS212290],Per million dollars of output,1.486
Indirect multiplier,Jobs,Stone mining and quarrying [BS212310],Per million dollars of output,1.708
Indirect multiplier,Jobs,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying [BS212320]",Per million dollars of output,1.851
Indirect multiplier,Jobs,Diamond mining [BS212392],Per million dollars of output,2.05
Indirect multiplier,Jobs,Other non-metallic mineral mining and quarrying (except diamond and potash) [BS21239A],Per million dollars of output,1.588
Indirect multiplier,Jobs,Potash mining [BS212396],Per million dollars of output,0.546
Indirect multiplier,Jobs,Support activities for oil and gas extraction [BS21311A],Per million dollars of output,1.007
Indirect multiplier,Jobs,Support activities for mining [BS21311B],Per million dollars of output,1.72
Indirect multiplier,Jobs,"Electric power generation, transmission and distribution [BS221100]",Per million dollars of output,1.25
Indirect multiplier,Jobs,Natural gas distribution [BS221200],Per million dollars of output,0.992
Indirect multiplier,Jobs,"Water, sewage and other systems [BS221300]",Per million dollars of output,2.19
Indirect multiplier,Jobs,Residential building construction [BS23A000],Per million dollars of output,2.719
Indirect multiplier,Jobs,Non-residential building construction [BS23B000],Per million dollars of output,2.623
Indirect multiplier,Jobs,Transportation engineering construction [BS23C100],Per million dollars of output,2.749
Indirect multiplier,Jobs,Oil and gas engineering construction [BS23C200],Per million dollars of output,2.34
Indirect multiplier,Jobs,Electric power engineering construction [BS23C300],Per million dollars of output,1.822
Indirect multiplier,Jobs,Communication engineering construction [BS23C400],Per million dollars of output,2.494
Indirect multiplier,Jobs,Other engineering construction [BS23C500],Per million dollars of output,2.487
Indirect multiplier,Jobs,Repair construction [BS23D000],Per million dollars of output,2.157
Indirect multiplier,Jobs,Other activities of the construction industry [BS23E000],Per million dollars of output,1.277
Indirect multiplier,Jobs,Animal food manufacturing [BS311100],Per million dollars of output,3.295
Indirect multiplier,Jobs,Grain and oilseed milling [BS311200],Per million dollars of output,3.238
Indirect multiplier,Jobs,Sugar and confectionery product manufacturing [BS311300],Per million dollars of output,2.136
Indirect multiplier,Jobs,Fruit and vegetable preserving and specialty food manufacturing [BS311400],Per million dollars of output,2.787
Indirect multiplier,Jobs,Dairy product manufacturing [BS311500],Per million dollars of output,4.657
Indirect multiplier,Jobs,Meat product manufacturing [BS311600],Per million dollars of output,4.901
Indirect multiplier,Jobs,Seafood product preparation and packaging [BS311700],Per million dollars of output,3.075
Indirect multiplier,Jobs,Bakeries and tortilla manufacturing [BS311800],Per million dollars of output,2.606
Indirect multiplier,Jobs,Other food manufacturing [BS311900],Per million dollars of output,2.665
Indirect multiplier,Jobs,Soft drink and ice manufacturing [BS312110],Per million dollars of output,2.682
Indirect multiplier,Jobs,Breweries [BS312120],Per million dollars of output,2.07
Indirect multiplier,Jobs,Wineries and distilleries [BS3121A0],Per million dollars of output,2.14
Indirect multiplier,Jobs,Tobacco and cannabis product manufacturing [BS312A00],Per million dollars of output,1.626
Indirect multiplier,Jobs,Textile and textile product mills [BS31A000],Per million dollars of output,1.985
Indirect multiplier,Jobs,Clothing and leather and allied product manufacturing [BS31B000],Per million dollars of output,2.214
Indirect multiplier,Jobs,Sawmills and wood preservation [BS321100],Per million dollars of output,2.87
Indirect multiplier,Jobs,"Veneer, plywood and engineered wood product manufacturing [BS321200]",Per million dollars of output,2.317
Indirect multiplier,Jobs,Other wood product manufacturing [BS321900],Per million dollars of output,3.072
Indirect multiplier,Jobs,"Pulp, paper and paperboard mills [BS322100]",Per million dollars of output,2.761
Indirect multiplier,Jobs,Converted paper product manufacturing [BS322200],Per million dollars of output,2.019
Indirect multiplier,Jobs,Printing and related support activities [BS323000],Per million dollars of output,2.148
Indirect multiplier,Jobs,Petroleum refineries [BS324110],Per million dollars of output,1.017
Indirect multiplier,Jobs,Petroleum and coal product manufacturing (except petroleum refineries) [BS3241A0],Per million dollars of output,1.791
Indirect multiplier,Jobs,Basic chemical manufacturing [BS325100],Per million dollars of output,1.959
Indirect multiplier,Jobs,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS325200]",Per million dollars of output,1.57
Indirect multiplier,Jobs,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS325300]",Per million dollars of output,1.868
Indirect multiplier,Jobs,Pharmaceutical and medicine manufacturing [BS325400],Per million dollars of output,1.653
Indirect multiplier,Jobs,"Paint, coating and adhesive manufacturing [BS325500]",Per million dollars of output,1.453
Indirect multiplier,Jobs,"Soap, cleaning compound and toilet preparation manufacturing [BS325600]",Per million dollars of output,1.982
Indirect multiplier,Jobs,Other chemical product manufacturing [BS325900],Per million dollars of output,1.611
Indirect multiplier,Jobs,Plastic product manufacturing [BS326100],Per million dollars of output,1.511
Indirect multiplier,Jobs,Rubber product manufacturing [BS326200],Per million dollars of output,1.293
Indirect multiplier,Jobs,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A00],Per million dollars of output,2.318
Indirect multiplier,Jobs,Cement and concrete product manufacturing [BS327300],Per million dollars of output,2.492
Indirect multiplier,Jobs,Iron and steel mills and ferro-alloy manufacturing [BS331100],Per million dollars of output,1.749
Indirect multiplier,Jobs,Steel product manufacturing from purchased steel [BS331200],Per million dollars of output,1.848
Indirect multiplier,Jobs,Alumina and aluminum production and processing [BS331300],Per million dollars of output,0.969
Indirect multiplier,Jobs,Non-ferrous metal (except aluminum) production and processing [BS331400],Per million dollars of output,1.583
Indirect multiplier,Jobs,Foundries [BS331500],Per million dollars of output,1.688
Indirect multiplier,Jobs,"Forging, stamping and other fabricated metal product manufacturing [BS332B00]",Per million dollars of output,1.891
Indirect multiplier,Jobs,Architectural and structural metals manufacturing [BS332300],Per million dollars of output,2.234
Indirect multiplier,Jobs,"Boiler, tank and shipping container manufacturing [BS332400]",Per million dollars of output,1.829
Indirect multiplier,Jobs,"Machine shops, turned product, and screw, nut and bolt manufacturing [BS332700]",Per million dollars of output,1.776
Indirect multiplier,Jobs,"Coating, engraving, cold and heat treating and allied activities [BS332800]",Per million dollars of output,1.645
Indirect multiplier,Jobs,"Agricultural, construction and mining machinery manufacturing [BS333100]",Per million dollars of output,1.91
Indirect multiplier,Jobs,Industrial machinery manufacturing [BS333200],Per million dollars of output,1.823
Indirect multiplier,Jobs,Commercial and service industry machinery manufacturing [BS333300],Per million dollars of output,1.725
Indirect multiplier,Jobs,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing [BS333400]",Per million dollars of output,1.605
Indirect multiplier,Jobs,Metalworking machinery manufacturing [BS333500],Per million dollars of output,1.939
Indirect multiplier,Jobs,"Engine, turbine and power transmission equipment manufacturing [BS333600]",Per million dollars of output,2.104
Indirect multiplier,Jobs,Other general-purpose machinery manufacturing [BS333900],Per million dollars of output,1.77
Indirect multiplier,Jobs,Computer and other electronic product manufacturing [BS334C00],Per million dollars of output,1.429
Indirect multiplier,Jobs,Communications equipment manufacturing [BS334200],Per million dollars of output,1.447
Indirect multiplier,Jobs,Semiconductor and other electronic component manufacturing [BS334400],Per million dollars of output,1.471
Indirect multiplier,Jobs,Electric lighting equipment and household appliance manufacturing [BS335B00],Per million dollars of output,2.031
Indirect multiplier,Jobs,Electrical equipment manufacturing [BS335300],Per million dollars of output,1.864
Indirect multiplier,Jobs,Other electrical equipment and component manufacturing [BS335900],Per million dollars of output,1.347
Indirect multiplier,Jobs,Automobile and light-duty motor vehicle manufacturing [BS336110],Per million dollars of output,1.489
Indirect multiplier,Jobs,Heavy-duty truck manufacturing [BS336120],Per million dollars of output,1.133
Indirect multiplier,Jobs,Motor vehicle body and trailer manufacturing [BS336200],Per million dollars of output,1.501
Indirect multiplier,Jobs,Motor vehicle parts manufacturing [BS336300],Per million dollars of output,1.767
Indirect multiplier,Jobs,Aerospace product and parts manufacturing [BS336400],Per million dollars of output,1.308
Indirect multiplier,Jobs,Railroad rolling stock manufacturing [BS336500],Per million dollars of output,2.293
Indirect multiplier,Jobs,Ship and boat building [BS336600],Per million dollars of output,2.348
Indirect multiplier,Jobs,Other transportation equipment manufacturing [BS336900],Per million dollars of output,1.41
Indirect multiplier,Jobs,Household and institutional furniture and kitchen cabinet manufacturing [BS337100],Per million dollars of output,2.594
Indirect multiplier,Jobs,Office furniture (including fixtures) manufacturing [BS337200],Per million dollars of output,2.394
Indirect multiplier,Jobs,Other furniture-related product manufacturing [BS337900],Per million dollars of output,2.881
Indirect multiplier,Jobs,Medical equipment and supplies manufacturing [BS339100],Per million dollars of output,2.02
Indirect multiplier,Jobs,Other miscellaneous manufacturing [BS339900],Per million dollars of output,1.611
Indirect multiplier,Jobs,Farm product merchant wholesalers [BS411000],Per million dollars of output,2.455
Indirect multiplier,Jobs,"Petroleum, petroleum products, and other hydrocarbons merchant wholesalers [BS412000]",Per million dollars of output,2.507
Indirect multiplier,Jobs,"Food, beverage and tobacco merchant wholesalers [BS413000]",Per million dollars of output,2.441
Indirect multiplier,Jobs,Personal and household goods merchant wholesalers [BS414000],Per million dollars of output,2.404
Indirect multiplier,Jobs,Motor vehicle and motor vehicle parts and accessories merchant wholesalers [BS415000],Per million dollars of output,2.124
Indirect multiplier,Jobs,Building material and supplies merchant wholesalers [BS416000],Per million dollars of output,1.613
Indirect multiplier,Jobs,"Machinery, equipment and supplies merchant wholesalers [BS417000]",Per million dollars of output,1.543
Indirect multiplier,Jobs,Miscellaneous merchant wholesalers [BS418000],Per million dollars of output,2.134
Indirect multiplier,Jobs,"Business-to-business electronic markets, and agents and brokers [BS419000]",Per million dollars of output,1.835
Indirect multiplier,Jobs,Motor vehicle and parts dealers [BS441000],Per million dollars of output,2.013
Indirect multiplier,Jobs,Building material and garden equipment and supplies dealers [BS444000],Per million dollars of output,2.104
Indirect multiplier,Jobs,Food and beverage retailers [BS445000],Per million dollars of output,1.94
Indirect multiplier,Jobs,"Furniture, home furnishings, electronics and appliances retailers [BS449000]",Per million dollars of output,2.647
Indirect multiplier,Jobs,General merchandise retailers [BS455000],Per million dollars of output,1.884
Indirect multiplier,Jobs,Health and personal care retailers [BS456000],Per million dollars of output,2.248
Indirect multiplier,Jobs,Gasoline stations and fuel vendors [BS457000],Per million dollars of output,1.894
Indirect multiplier,Jobs,"Clothing, clothing accessories, shoes, jewelry, luggage and leather goods retailers [BS458000]",Per million dollars of output,2.368
Indirect multiplier,Jobs,"Sporting goods, hobby, musical instrument, book, and miscellaneous retailers (except cannabis) [BS459A00]",Per million dollars of output,2.34
Indirect multiplier,Jobs,Cannabis retailers (licensed) [BS459BL0],Per million dollars of output,1.827
Indirect multiplier,Jobs,Cannabis retailers (unlicensed) [BS459BU0],Per million dollars of output,0.791
Indirect multiplier,Jobs,Air transportation [BS481000],Per million dollars of output,2.266
Indirect multiplier,Jobs,Rail transportation [BS482000],Per million dollars of output,1.382
Indirect multiplier,Jobs,Water transportation [BS483000],Per million dollars of output,3.209
Indirect multiplier,Jobs,Truck transportation [BS484000],Per million dollars of output,2.832
Indirect multiplier,Jobs,Urban transit systems [BS485100],Per million dollars of output,5.526
Indirect multiplier,Jobs,Other transit and ground passenger transportation and scenic and sightseeing transportation [BS48A000],Per million dollars of output,1.269
Indirect multiplier,Jobs,Taxi and limousine service [BS485300],Per million dollars of output,3.719
Indirect multiplier,Jobs,Crude oil and other pipeline transportation [BS486A00],Per million dollars of output,1.741
Indirect multiplier,Jobs,Pipeline transportation of natural gas [BS486200],Per million dollars of output,1.005
Indirect multiplier,Jobs,Support activities for transportation [BS488000],Per million dollars of output,3.228
Indirect multiplier,Jobs,Postal service [BS491000],Per million dollars of output,0.954
Indirect multiplier,Jobs,Couriers and messengers [BS492000],Per million dollars of output,2.934
Indirect multiplier,Jobs,Warehousing and storage [BS493000],Per million dollars of output,1.668
Indirect multiplier,Jobs,Motion picture and video industries (except exhibition) [BS5121A0],Per million dollars of output,4.947
Indirect multiplier,Jobs,Motion picture and video exhibition [BS512130],Per million dollars of output,2.998
Indirect multiplier,Jobs,Sound recording industries [BS512200],Per million dollars of output,2.818
Indirect multiplier,Jobs,Newspaper publishers [BS513110],Per million dollars of output,3.446
Indirect multiplier,Jobs,"Periodical, book and directory publishers [BS5131A0]",Per million dollars of output,3.383
Indirect multiplier,Jobs,Software publishers [BS513200],Per million dollars of output,2.935
Indirect multiplier,Jobs,Radio and television broadcasting stations [BS516100],Per million dollars of output,3.204
Indirect multiplier,Jobs,Pay and specialty television [BS516211],Per million dollars of output,4.231
Indirect multiplier,Jobs,Media streaming distribution services and other media content providers [BS51621A],Per million dollars of output,2.262
Indirect multiplier,Jobs,Telecommunications [BS517000],Per million dollars of output,1.661
Indirect multiplier,Jobs,"Computing infrastructure providers, data processing, web hosting, and related services [BS518000]",Per million dollars of output,2.662
Indirect multiplier,Jobs,"Web search portals, libraries, archives, and all other information services [BS519000]",Per million dollars of output,2.24
Indirect multiplier,Jobs,Monetary authorities - central bank [BS521000],Per million dollars of output,2.392
Indirect multiplier,Jobs,Banking and other depository credit intermediation [BS5221A0],Per million dollars of output,1.35
Indirect multiplier,Jobs,Credit unions [BS522B00],Per million dollars of output,2.472
Indirect multiplier,Jobs,Non-depository credit intermediation [BS522200],Per million dollars of output,3.509
Indirect multiplier,Jobs,Financial auxiliaries [BS52C000],Per million dollars of output,2.351
Indirect multiplier,Jobs,Other financial intermediaries [BS52D000],Per million dollars of output,2.521
Indirect multiplier,Jobs,Insurance carriers [BS524100],Per million dollars of output,3.21
Indirect multiplier,Jobs,Funds and other financial vehicles (except securitization vehicles) [BS526A00],Per million dollars of output,4.564
Indirect multiplier,Jobs,Lessors of real estate [BS531100],Per million dollars of output,2.574
Indirect multiplier,Jobs,Offices of real estate agents and brokers and activities related to real estate [BS531A00],Per million dollars of output,3.399
Indirect multiplier,Jobs,Owner-occupied dwellings [BS5311A0],Per million dollars of output,0.827
Indirect multiplier,Jobs,Automotive equipment rental and leasing [BS532100],Per million dollars of output,2.506
Indirect multiplier,Jobs,Rental and leasing services (except automotive equipment) [BS532A00],Per million dollars of output,2.289
Indirect multiplier,Jobs,Lessors of non-financial intangible assets (except copyrighted works) [BS533000],Per million dollars of output,3.429
Indirect multiplier,Jobs,Legal services [BS541100],Per million dollars of output,1.959
Indirect multiplier,Jobs,"Accounting, tax preparation, bookkeeping and payroll services [BS541200]",Per million dollars of output,1.968
Indirect multiplier,Jobs,"Architectural, engineering and related services [BS541300]",Per million dollars of output,2.207
Indirect multiplier,Jobs,Specialized design services [BS541400],Per million dollars of output,2.995
Indirect multiplier,Jobs,Computer systems design and related services [BS541500],Per million dollars of output,2.644
Indirect multiplier,Jobs,"Management, scientific and technical consulting services [BS541600]",Per million dollars of output,2.341
Indirect multiplier,Jobs,Scientific research and development services [BS541700],Per million dollars of output,1.944
Indirect multiplier,Jobs,"Advertising, public relations, and related services [BS541800]",Per million dollars of output,2.687
Indirect multiplier,Jobs,"Other professional, scientific and technical services [BS541900]",Per million dollars of output,3.049
Indirect multiplier,Jobs,Holding companies [BS551113],Per million dollars of output,3.399
Indirect multiplier,Jobs,Office administrative services [BS561100],Per million dollars of output,1.992
Indirect multiplier,Jobs,Facilities and other support services [BS561A00],Per million dollars of output,2.419
Indirect multiplier,Jobs,Employment services [BS561300],Per million dollars of output,2.381
Indirect multiplier,Jobs,Business support services [BS561400],Per million dollars of output,2.642
Indirect multiplier,Jobs,Travel arrangement and reservation services [BS561500],Per million dollars of output,2.963
Indirect multiplier,Jobs,Investigation and security services [BS561600],Per million dollars of output,1.823
Indirect multiplier,Jobs,Services to buildings and dwellings [BS561700],Per million dollars of output,2.597
Indirect multiplier,Jobs,Waste management and remediation services [BS562000],Per million dollars of output,2.97
Indirect multiplier,Jobs,Educational services [BS610000],Per million dollars of output,2.496
Indirect multiplier,Jobs,Offices of physicians [BS621100],Per million dollars of output,1.33
Indirect multiplier,Jobs,Offices of dentists [BS621200],Per million dollars of output,1.811
Indirect multiplier,Jobs,Miscellaneous ambulatory health care services [BS621A00],Per million dollars of output,1.081
Indirect multiplier,Jobs,Nursing and residential care facilities [BS623000],Per million dollars of output,2.007
Indirect multiplier,Jobs,Social assistance [BS624000],Per million dollars of output,2.428
Indirect multiplier,Jobs,"Performing arts, spectator sports and related industries, and heritage institutions [BS71A000]",Per million dollars of output,3.613
Indirect multiplier,Jobs,Amusement and recreation industries [BS713A00],Per million dollars of output,2.693
Indirect multiplier,Jobs,Gambling industries [BS713200],Per million dollars of output,4.887
Indirect multiplier,Jobs,Traveller accommodation [BS721100],Per million dollars of output,2.756
Indirect multiplier,Jobs,"Recreational vehicle (RV) parks, recreational camps, and rooming and boarding houses [BS721A00]",Per million dollars of output,2.942
Indirect multiplier,Jobs,Food services and drinking places [BS722000],Per million dollars of output,2.741
Indirect multiplier,Jobs,Automotive repair and maintenance [BS811100],Per million dollars of output,2.147
Indirect multiplier,Jobs,Repair and maintenance (except automotive) [BS811A00],Per million dollars of output,2.11
Indirect multiplier,Jobs,Personal care services and other personal services [BS812A00],Per million dollars of output,2.398
Indirect multiplier,Jobs,Funeral services [BS812200],Per million dollars of output,1.916
Indirect multiplier,Jobs,Dry cleaning and laundry services [BS812300],Per million dollars of output,1.807
Indirect multiplier,Jobs,"Business, professional and other membership organizations [BS813000]",Per million dollars of output,3.011
Indirect multiplier,Jobs,Educational services [NP610000],Per million dollars of output,1.531
Indirect multiplier,Jobs,Ambulatory health care services [NP621000],Per million dollars of output,1.962
Indirect multiplier,Jobs,Social assistance [NP624000],Per million dollars of output,1.509
Indirect multiplier,Jobs,"Arts, entertainment and recreation [NP710000]",Per million dollars of output,2.35
Indirect multiplier,Jobs,Religious organizations [NP813100],Per million dollars of output,2.413
Indirect multiplier,Jobs,"Grant-making, civic, and professional and similar organizations [NP813A00]",Per million dollars of output,3.191
Indirect multiplier,Jobs,Other non-profit institutions serving households [NP999999],Per million dollars of output,2.833
Indirect multiplier,Jobs,Elementary and secondary schools [GS611100],Per million dollars of output,0.963
Indirect multiplier,Jobs,Community colleges and C.E.G.E.P.s [GS611200],Per million dollars of output,1.678
Indirect multiplier,Jobs,Universities [GS611300],Per million dollars of output,1.111
Indirect multiplier,Jobs,Ambulatory health care services and social assistance [GS62A000],Per million dollars of output,3.818
Indirect multiplier,Jobs,Hospitals [GS622000],Per million dollars of output,2.017
Indirect multiplier,Jobs,Nursing and residential care facilities [GS623000],Per million dollars of output,1.568
Indirect multiplier,Jobs,Defence services [GS911100],Per million dollars of output,2.033
Indirect multiplier,Jobs,Other federal government services (except defence) [GS911A00],Per million dollars of output,2.398
Indirect multiplier,Jobs,Other provincial and territorial government services [GS912000],Per million dollars of output,3.666
Indirect multiplier,Jobs,Other municipal government services [GS913000],Per million dollars of output,2.088
Indirect multiplier,Jobs,Other Indigenous government services [GS914000],Per million dollars of output,5.413
Induced multiplier,Output,Total industries,Per dollar of output,0.362
Induced multiplier,Output,"Crop production (except cannabis, greenhouse, nursery and floriculture production) [BS111A00]",Per dollar of output,0.156
Induced multiplier,Output,"Greenhouse, nursery and floriculture production (except cannabis) [BS1114A0]",Per dollar of output,0.426
Induced multiplier,Output,Cannabis production (licensed) [BS111CL0],Per dollar of output,0.424
Induced multiplier,Output,Cannabis production (unlicensed) [BS111CU0],Per dollar of output,0.104
Induced multiplier,Output,Animal production (except aquaculture) [BS112A00],Per dollar of output,0.261
Induced multiplier,Output,Aquaculture [BS112500],Per dollar of output,0.274
Induced multiplier,Output,Forestry and logging [BS113000],Per dollar of output,0.299
Induced multiplier,Output,"Fishing, hunting and trapping [BS114000]",Per dollar of output,0.217
Induced multiplier,Output,Support activities for crop and animal production [BS115A00],Per dollar of output,0.449
Induced multiplier,Output,Support activities for forestry [BS115300],Per dollar of output,0.418
Induced multiplier,Output,Oil and gas extraction (except oil sands) [BS211110],Per dollar of output,0.137
Induced multiplier,Output,Oil sands extraction [BS211140],Per dollar of output,0.143
Induced multiplier,Output,Coal mining [BS212100],Per dollar of output,0.193
Induced multiplier,Output,Iron ore mining [BS212210],Per dollar of output,0.197
Induced multiplier,Output,Gold and silver ore mining [BS212220],Per dollar of output,0.321
Induced multiplier,Output,"Copper, nickel, lead and zinc ore mining [BS212230]",Per dollar of output,0.233
Induced multiplier,Output,Other metal ore mining [BS212290],Per dollar of output,0.307
Induced multiplier,Output,Stone mining and quarrying [BS212310],Per dollar of output,0.305
Induced multiplier,Output,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying [BS212320]",Per dollar of output,0.426
Induced multiplier,Output,Diamond mining [BS212392],Per dollar of output,0.318
Induced multiplier,Output,Other non-metallic mineral mining and quarrying (except diamond and potash) [BS21239A],Per dollar of output,0.292
Induced multiplier,Output,Potash mining [BS212396],Per dollar of output,0.091
Induced multiplier,Output,Support activities for oil and gas extraction [BS21311A],Per dollar of output,0.367
Induced multiplier,Output,Support activities for mining [BS21311B],Per dollar of output,0.474
Induced multiplier,Output,"Electric power generation, transmission and distribution [BS221100]",Per dollar of output,0.263
Induced multiplier,Output,Natural gas distribution [BS221200],Per dollar of output,0.238
Induced multiplier,Output,"Water, sewage and other systems [BS221300]",Per dollar of output,0.324
Induced multiplier,Output,Residential building construction [BS23A000],Per dollar of output,0.376
Induced multiplier,Output,Non-residential building construction [BS23B000],Per dollar of output,0.429
Induced multiplier,Output,Transportation engineering construction [BS23C100],Per dollar of output,0.42
Induced multiplier,Output,Oil and gas engineering construction [BS23C200],Per dollar of output,0.412
Induced multiplier,Output,Electric power engineering construction [BS23C300],Per dollar of output,0.319
Induced multiplier,Output,Communication engineering construction [BS23C400],Per dollar of output,0.324
Induced multiplier,Output,Other engineering construction [BS23C500],Per dollar of output,0.417
Induced multiplier,Output,Repair construction [BS23D000],Per dollar of output,0.477
Induced multiplier,Output,Other activities of the construction industry [BS23E000],Per dollar of output,0.165
Induced multiplier,Output,Animal food manufacturing [BS311100],Per dollar of output,0.233
Induced multiplier,Output,Grain and oilseed milling [BS311200],Per dollar of output,0.191
Induced multiplier,Output,Sugar and confectionery product manufacturing [BS311300],Per dollar of output,0.235
Induced multiplier,Output,Fruit and vegetable preserving and specialty food manufacturing [BS311400],Per dollar of output,0.267
Induced multiplier,Output,Dairy product manufacturing [BS311500],Per dollar of output,0.293
Induced multiplier,Output,Meat product manufacturing [BS311600],Per dollar of output,0.299
Induced multiplier,Output,Seafood product preparation and packaging [BS311700],Per dollar of output,0.292
Induced multiplier,Output,Bakeries and tortilla manufacturing [BS311800],Per dollar of output,0.314
Induced multiplier,Output,Other food manufacturing [BS311900],Per dollar of output,0.28
Induced multiplier,Output,Soft drink and ice manufacturing [BS312110],Per dollar of output,0.312
Induced multiplier,Output,Breweries [BS312120],Per dollar of output,0.312
Induced multiplier,Output,Wineries and distilleries [BS3121A0],Per dollar of output,0.275
Induced multiplier,Output,Tobacco and cannabis product manufacturing [BS312A00],Per dollar of output,0.241
Induced multiplier,Output,Textile and textile product mills [BS31A000],Per dollar of output,0.317
Induced multiplier,Output,Clothing and leather and allied product manufacturing [BS31B000],Per dollar of output,0.39
Induced multiplier,Output,Sawmills and wood preservation [BS321100],Per dollar of output,0.294
Induced multiplier,Output,"Veneer, plywood and engineered wood product manufacturing [BS321200]",Per dollar of output,0.258
Induced multiplier,Output,Other wood product manufacturing [BS321900],Per dollar of output,0.362
Induced multiplier,Output,"Pulp, paper and paperboard mills [BS322100]",Per dollar of output,0.3
Induced multiplier,Output,Converted paper product manufacturing [BS322200],Per dollar of output,0.287
Induced multiplier,Output,Printing and related support activities [BS323000],Per dollar of output,0.393
Induced multiplier,Output,Petroleum refineries [BS324110],Per dollar of output,0.102
Induced multiplier,Output,Petroleum and coal product manufacturing (except petroleum refineries) [BS3241A0],Per dollar of output,0.205
Induced multiplier,Output,Basic chemical manufacturing [BS325100],Per dollar of output,0.198
Induced multiplier,Output,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing [BS325200]",Per dollar of output,0.182
Induced multiplier,Output,"Pesticide, fertilizer and other agricultural chemical manufacturing [BS325300]",Per dollar of output,0.218
Induced multiplier,Output,Pharmaceutical and medicine manufacturing [BS325400],Per dollar of output,0.263
Induced multiplier,Output,"Paint, coating and adhesive manufacturing [BS325500]",Per dollar of output,0.222
Induced multiplier,Output,"Soap, cleaning compound and toilet preparation manufacturing [BS325600]",Per dollar of output,0.29
Induced multiplier,Output,Other chemical product manufacturing [BS325900],Per dollar of output,0.237
Induced multiplier,Output,Plastic product manufacturing [BS326100],Per dollar of output,0.255
Induced multiplier,Output,Rubber product manufacturing [BS326200],Per dollar of output,0.251
Induced multiplier,Output,Non-metallic mineral product manufacturing (except cement and concrete products) [BS327A00],Per dollar of output,0.321
Induced multiplier,Output,Cement and concrete product manufacturing [BS327300],Per dollar of output,0.332
Induced multiplier,Output,Iron and steel mills and ferro-alloy manufacturing [BS331100],Per dollar of output,0.226
Induced multiplier,Output,Steel product manufacturing from purchased steel [BS331200],Per dollar of output,0.229
Induced multiplier,Output,Alumina and aluminum production and processing [BS331300],Per dollar of output,0.156
Induced multiplier,Output,Non-ferrous metal (except aluminum) production and processing [BS331400],Per dollar of output,0.162
Induced multiplier,Output,Foundries [BS331500],Per dollar of output,0.309
Induced multiplier,Output,"Forging, stamping and other fabricated metal product manufacturing [BS332B00]",Per dollar of output,0.327
Induced multiplier,Output,Architectural and structural metals manufacturing [BS332300],Per dollar of output,0.324
Induced multiplier,Output,"Boiler, tank and shipping container manufacturing [BS332400]",Per dollar of output,0.344
Induced multiplier,Output,"Machine shops, turned product, and screw, nut and bolt manufacturing [BS332700]",Per dollar of output,0.39
Induced multiplier,Output,"Coating, engraving, cold and heat treating and allied activities [BS332800]",Per dollar of output,0.387
Induced multiplier,Output,"Agricultural, construction and mining machinery manufacturing [BS333100]",Per dollar of output,0.318
